Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
EPHB6	HEP	ENSG00000106123	"EPH receptor B6"		7	142855061-142871094	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enhanced"	"Detected in many"		"brain: 59.5;skin 1: 63.8"	"Cell type enhanced"	"Detected in many"		"Mesothelial cells: 181.6;Muller glia cells: 193.3;Prostatic glandular cells: 76.9;Suprabasal keratinocytes: 105.2"	"Cell type enhanced"	"Detected in all"		"MGE interneuron: 104.9"	"Low cancer specificity"	"Detected in many"			"Group enriched"	"Detected in all"	4	"basal ganglia: 70.9;cerebral cortex: 120.2;white matter: 83.2"	"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Adipose visceral - Mesothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			HPA035784			Uncertain	"Nuclear speckles"	"Intracellular and membrane"		NA	NA			"Cluster 33: Non-specific - ATP binding"	"Cluster 80: Non-specific - Endocytosis"	"Cluster 53: Neurons - Mixed function"	"Cluster 59: Leukemia - T-cell receptor"	"Cluster 10: Muller glia cells - Visual perception"	5	"Nuclear speckles"		"HPA035784: AB_2674781"	"unprognostic (3.19e-2)"		"unprognostic (2.18e-2)"	"unprognostic (1.51e-1)"	"unprognostic (4.98e-2)"		"unprognostic (8.96e-3)"	"unprognostic (8.63e-2)"	"unprognostic (2.67e-3)"		"unprognostic (1.80e-6)"	"unprognostic (4.08e-2)"	"unprognostic (1.38e-1)"		"unprognostic (4.01e-3)"			"unprognostic (2.93e-1)"	"unprognostic (2.27e-3)"	"unprognostic (1.79e-1)"	"unprognostic (1.54e-1)"	"unprognostic (1.13e-2)"	"unprognostic (2.38e-3)"	"unprognostic (3.36e-1)"			"unprognostic (4.91e-2)"	"unprognostic (1.59e-1)"	"unprognostic (1.41e-1)"	"unprognostic (2.07e-1)"	"unprognostic (8.03e-2)"
EPOR		ENSG00000187266	"Erythropoietin receptor"	P19235	19	11377207-11384342	"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins"		Receptor	"Cancer-related genes, Congenital erythrocytosis, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Erythroid cells: 84.7;Hofbauer cells: 37.0"	"Cell type enhanced"	"Detected in all"		"astrocyte: 24.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Colon - Endothelial cells, Skin - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA077654			Supported	"Nuclear speckles,Plasma membrane"	"Intracellular and membrane"	Receptor	NA	Yes			"Cluster 35: Neutrophils - Protein binding"	"Cluster 51: Thyroid gland - Unknown function"	"Cluster 16: Non-specific - Transcription"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 1: Erythroid cells - Oxygen transport"	20	"Plasma membrane"	"Nuclear speckles"	"HPA077654: "	"unprognostic (6.99e-2)"	"unprognostic (1.58e-1)"	"unprognostic (1.43e-1)"	"unprognostic (4.71e-2)"	"unprognostic (1.82e-1)"	"unprognostic (2.60e-1)"	"unprognostic (1.03e-1)"		"unprognostic (5.05e-2)"	"unprognostic (5.06e-2)"	"unprognostic (7.35e-5)"	"unprognostic (1.33e-1)"	"unprognostic (4.09e-1)"	"unprognostic (4.89e-2)"	"unprognostic (2.58e-2)"	"unprognostic (9.33e-2)"	"unprognostic (5.87e-2)"	"unprognostic (6.94e-3)"	"unprognostic (2.32e-1)"	"unprognostic (9.17e-2)"	"unprognostic (9.65e-2)"	"unprognostic (4.27e-3)"	"unprognostic (2.23e-3)"	"unprognostic (9.65e-3)"	"unprognostic (1.44e-1)"	"unprognostic (2.20e-1)"	"unprognostic (2.26e-2)"	"unprognostic (7.77e-2)"	"unprognostic (2.40e-1)"	"unprognostic (1.20e-1)"	"unprognostic (6.18e-2)"
ERCC8	"CKN1, CSA"	ENSG00000049167	"ERCC excision repair 8, CSA ubiquitin ligase complex subunit"	Q13216	5	60866454-60945073	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"DNA damage, DNA repair, Ubl conjugation pathway"		"Cockayne syndrome, Deafness, Disease variant, Dwarfism"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Early spermatids: 51.5;Excitatory neurons: 50.1;Inhibitory neurons: 45.9;Oligodendrocytes: 53.4"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA029328			Approved	"Nuclear speckles"			NA	NA			"Cluster 33: Non-specific - ATP binding"	"Cluster 3: Non-specific - Unknown function"	"Cluster 9: Non-specific - Receptor signaling"	"Cluster 30: Non-specific - Gene expression regulation"	"Cluster 8: Neurons - Neuronal signaling"	39	"Nuclear speckles"		"HPA029328: AB_2673000"	"unprognostic (8.73e-2)"	"unprognostic (1.64e-2)"	"unprognostic (4.27e-2)"	"unprognostic (2.57e-1)"	"unprognostic (2.82e-2)"	"unprognostic (2.87e-2)"	"unprognostic (4.17e-3)"	"unprognostic (2.56e-2)"	"unprognostic (1.12e-1)"	"unprognostic (1.77e-2)"	"unprognostic (1.34e-4)"	"unprognostic (2.67e-1)"	"unprognostic (1.50e-1)"		"unprognostic (8.80e-2)"	"unprognostic (1.02e-2)"	"unprognostic (4.76e-2)"	"unprognostic (1.66e-1)"	"unprognostic (4.06e-2)"	"unprognostic (3.81e-1)"	"unprognostic (5.18e-3)"	"unprognostic (8.06e-2)"	"unprognostic (3.23e-1)"	"unprognostic (2.61e-1)"	"unprognostic (2.11e-1)"	"unprognostic (2.21e-2)"	"unprognostic (4.14e-2)"	"unprognostic (1.23e-1)"	"unprognostic (4.77e-2)"	"unprognostic (2.89e-2)"	"unprognostic (1.18e-1)"
ESX1	"ESX1L, ESXR1"	ENSG00000123576	"ESX homeobox 1"	Q8N693	X	104250038-104254933	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"DNA-binding, Repressor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	69	"testis: 8.6"	"Cell type enriched"	"Detected in some"	8	"Spermatogonia: 109.5"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	6	"Testicular Germ Cell Tumor (TCGA): 1.0"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	4	"Adrenocortical cancer: 4.7"	"Testis - Spermatogonia"	"Not detected"	"Not detected"							"HPA051992, HPA073330"	Enhanced		Supported	"Nuclear speckles"			NA	NA				"Cluster 10: Testis - Spermatid development"		"Cluster 48: Adipocytes & Endothelial cells - Angiogenesis"	"Cluster 67: Spermatogonia - Spermatogenesis"		"Nuclear speckles"		"HPA051992: AB_2681684, HPA073330: "																													"unprognostic (2.17e-1)"		
ETAA1	ETAA16	ENSG00000143971	"ETAA1 activator of ATR kinase"	Q9NY74	2	67397322-67412089	"Predicted intracellular proteins"	"DNA damage, DNA repair"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA035048, HPA035049"	Uncertain		Supported	"Nucleoplasm,Nuclear speckles,Vesicles,Plasma membrane,Cytosol"			NA	NA			"Cluster 16: Non-specific - Cell proliferation"	"Cluster 16: Non-specific - Transcription"	"Cluster 50: Non-specific - Nucleic acid binding"	"Cluster 26: Non-specific - Mitochondria & RNA binding"	"Cluster 55: Non-specific - Transcription"	10	Nucleoplasm	"Nuclear speckles, Vesicles, Plasma membrane, Cytosol"	"HPA035048: AB_10670300, HPA035049: AB_2674430"	"unprognostic (3.18e-2)"	"unprognostic (1.95e-1)"	"unprognostic (1.37e-2)"	"unprognostic (2.24e-1)"	"unprognostic (3.28e-1)"	"unprognostic (3.01e-1)"	"unprognostic (2.88e-1)"	"unprognostic (6.03e-2)"	"unprognostic (4.62e-2)"	"unprognostic (1.40e-1)"	"unprognostic (1.45e-4)"	"unprognostic (9.06e-2)"	"unprognostic (4.88e-1)"	"unprognostic (2.42e-2)"	"unprognostic (4.20e-3)"	"unprognostic (1.39e-1)"	"unprognostic (1.06e-1)"	"unprognostic (8.80e-2)"	"unprognostic (7.38e-2)"	"unprognostic (5.94e-2)"	"unprognostic (1.73e-1)"	"unprognostic (1.18e-1)"	"unprognostic (7.68e-2)"	"unprognostic (3.39e-1)"	"unprognostic (1.79e-2)"	"unprognostic (1.41e-1)"	"unprognostic (2.40e-2)"	"unprognostic (5.26e-2)"	"unprognostic (5.00e-1)"	"unprognostic (1.58e-1)"	"unprognostic (7.37e-2)"
EXOSC7	"EAP1, hRrp42p, KIAA0116, p8, RRP42, Rrp42p"	ENSG00000075914	"Exosome component 7"	Q15024	3	44975241-45036066	"Predicted intracellular proteins"	"rRNA processing"	RNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Distal tubular cells: 144.5;Oocytes: 153.7"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Skin - Keratinocyte (other)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA036182, HPA057980"	Approved		Supported	"Nuclear speckles"			NA	NA		22000	"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 8: Non-specific - Basic cellular processes"	"Cluster 15: Non-specific - Mixed function"	61	"Nuclear speckles"		"HPA036182: AB_10673346, HPA057980: AB_2683571"	"unprognostic (1.51e-2)"	"unprognostic (3.73e-2)"	"unprognostic (2.71e-1)"	"unprognostic (2.57e-2)"	"unprognostic (1.98e-1)"	"unprognostic (4.65e-2)"	"unprognostic (6.85e-2)"	"unprognostic (2.15e-4)"	"unprognostic (3.62e-2)"	"unprognostic (5.44e-2)"	"unprognostic (2.70e-2)"	"unprognostic (1.18e-1)"	"unprognostic (2.10e-1)"	"unprognostic (3.81e-3)"	"unprognostic (3.57e-4)"	"unprognostic (2.05e-1)"	"unprognostic (1.73e-3)"	"unprognostic (4.30e-2)"	"unprognostic (2.74e-1)"	"unprognostic (1.17e-1)"	"unprognostic (6.52e-2)"	"unprognostic (4.02e-3)"	"unprognostic (5.25e-3)"	"unprognostic (1.84e-2)"	"unprognostic (6.11e-2)"	"unprognostic (3.92e-3)"	"unprognostic (3.28e-1)"	"unprognostic (2.09e-1)"	"unprognostic (1.52e-1)"	"unprognostic (4.34e-1)"	"unprognostic (4.15e-2)"
FAM107A	"DRR1, TU3A"	ENSG00000168309	"Family with sequence similarity 107 member A"	O95990	3	58564117-58627610	"Predicted intracellular proteins"	"Cell cycle, Growth regulation, Stress response"	Actin-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"brain: 1052.3;choroid plexus: 341.2"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 197.4;Basal prostatic cells: 86.7;Cone photoreceptor cells: 110.4;Endothelial cells: 198.4;Muller glia cells: 128.1;Secretory cells: 216.2;Serous glandular cells: 159.7"	"Group enriched"	"Detected in many"	4	"astrocyte: 119.9;bergmann glia: 228.4;endothelial cell: 91.3"	"Cancer enriched"	"Detected in all"	7	"Glioblastoma Multiforme (TCGA): 249.4"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"ovarian cancer: 12.5;Uterine cancer: 14.5"	"Skin - Macrophages, Testis - Endothelial cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"							HPA055888	Enhanced		Supported	"Nuclear speckles"			NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"	8	"Nuclear speckles"		"HPA055888: AB_2682957"	"unprognostic (5.18e-2)"	"unprognostic (1.48e-1)"	"unprognostic (8.72e-3)"	"unprognostic (5.79e-2)"	"unprognostic (2.21e-1)"	"unprognostic (3.15e-1)"	"unprognostic (2.68e-1)"	"unprognostic (9.78e-4)"	"unprognostic (6.75e-3)"	"unprognostic (2.44e-2)"	"unprognostic (1.36e-8)"	"unprognostic (8.33e-3)"	"unprognostic (1.94e-1)"	"unprognostic (2.94e-3)"	"unprognostic (8.20e-4)"	"unprognostic (5.94e-2)"	"unprognostic (4.27e-2)"	"unprognostic (1.03e-2)"	"unprognostic (2.31e-1)"	"unprognostic (1.04e-1)"	"unprognostic (2.49e-2)"	"unprognostic (3.06e-3)"		"unprognostic (2.34e-2)"	"unprognostic (2.00e-1)"	"unprognostic (7.00e-2)"	"unprognostic (1.05e-2)"	"unprognostic (2.65e-2)"	"unprognostic (3.47e-1)"	"unprognostic (1.51e-1)"	"unprognostic (7.54e-2)"
FAM174C	"C19orf24, FLJ20640"	ENSG00000228300	"Family with sequence similarity 174 member C"	Q9BVV8	19	1275530-1279244	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Late spermatids: 310.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA043279, HPA047026"	Uncertain		Approved	"Nuclear speckles,Golgi apparatus"			NA	NA			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 68: Non-specific - Protein processing"	"Cluster 18: Non-specific - Mixed function"	"Cluster 23: Non-specific - Transcription"	"Cluster 36: Late spermatids - Unknown function"		"Nuclear speckles"	"Golgi apparatus"	"HPA043279: AB_10794656, HPA047026: AB_2679906"	"unprognostic (7.05e-2)"	"unprognostic (2.51e-1)"		"unprognostic (2.12e-1)"	"unprognostic (6.32e-2)"	"unprognostic (6.19e-2)"	"unprognostic (1.53e-1)"	"unprognostic (3.95e-1)"	"unprognostic (1.80e-1)"	"unprognostic (3.08e-2)"	"unprognostic (2.58e-2)"	"unprognostic (2.80e-3)"	"unprognostic (4.12e-2)"	"unprognostic (2.99e-3)"		"unprognostic (5.81e-2)"	"unprognostic (8.03e-2)"	"unprognostic (1.52e-2)"	"unprognostic (2.88e-1)"	"unprognostic (1.23e-1)"	"unprognostic (1.59e-1)"	"unprognostic (7.07e-3)"	"unprognostic (2.09e-2)"	"unprognostic (8.89e-3)"	"unprognostic (3.28e-1)"	"unprognostic (2.80e-1)"	"unprognostic (1.26e-1)"	"unprognostic (3.17e-3)"	"unprognostic (1.56e-1)"	"unprognostic (4.56e-1)"	"unprognostic (3.10e-1)"
FAM178B	LOC51252	ENSG00000168754	"Family with sequence similarity 178 member B"	Q8IXR5	2	96875882-96986580	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"bone marrow: 18.6;brain: 15.1;epididymis: 5.4;lymphoid tissue: 11.7;testis: 7.9"	"Cell type enriched"	"Detected in some"	7	"Erythroid cells: 158.2"	"Cell type enhanced"	"Detected in many"		"oligodendrocyte: 42.6"	"Cancer enhanced"	"Detected in many"		"Skin Cuteneous Melanoma (TCGA): 15.0"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Myeloma: 7.0;skin cancer: 10.5"	"Prostate - Smooth muscle cells"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in some"		"spinal cord: 3.8"	"HPA042516, HPA062110"	Uncertain		Approved	"Nuclear speckles,Golgi apparatus"			NA	NA				"Cluster 5: Brain & Testis - Signal transduction"	"Cluster 11: White matter - Signal transduction"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 1: Erythroid cells - Oxygen transport"		"Nuclear speckles"	"Golgi apparatus"	"HPA042516: AB_10806241, HPA062110: "	"unprognostic (9.19e-3)"	"unprognostic (2.00e-3)"	"unprognostic (5.72e-1)"	"unprognostic (3.35e-2)"			"unprognostic (7.18e-2)"		"unprognostic (1.38e-2)"							"unprognostic (3.96e-4)"	"unprognostic (2.63e-1)"	"unprognostic (1.59e-4)"		"unprognostic (2.20e-2)"	"unprognostic (9.32e-2)"						"unprognostic (1.72e-1)"	"unprognostic (4.67e-2)"	"unprognostic (9.13e-2)"	"unprognostic (4.93e-2)"	"unprognostic (1.56e-2)"
FAM227B	"C15orf33, FLJ32800"	ENSG00000166262	"Family with sequence similarity 227 member B"	Q96M60	15	49326962-49620929	"Metabolic proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 37.5;Early spermatids: 47.2;Oligodendrocytes: 51.3;Oocytes: 166.9;Spermatocytes: 42.6"	"Cell type enhanced"	"Detected in all"		"ependymal cell: 167.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"HPA049774, HPA061695"	Uncertain		Approved	"Nuclear speckles"			NA	NA			"Cluster 41: Basophils - Unknown function"	"Cluster 74: Spermatids - Flagellum assembly"	"Cluster 46: Brainstem - Mixed function"	"Cluster 20: Myeloma - Immune response"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"		"Nuclear speckles"		"HPA049774: AB_2680873, HPA061695: AB_2684588"	"unprognostic (7.67e-2)"	"unprognostic (4.04e-1)"		"unprognostic (6.43e-3)"	"unprognostic (3.65e-2)"	"unprognostic (2.74e-2)"	"unprognostic (3.94e-1)"	"unprognostic (2.53e-1)"	"unprognostic (2.09e-2)"	"unprognostic (6.30e-2)"	"unprognostic (2.99e-9)"	"unprognostic (1.28e-7)"	"unprognostic (7.62e-4)"	"unprognostic (9.81e-4)"		"unprognostic (4.57e-1)"	"unprognostic (1.62e-1)"	"unprognostic (2.89e-1)"	"unprognostic (1.89e-1)"	"unprognostic (5.72e-2)"	"unprognostic (3.73e-1)"	"unprognostic (1.27e-2)"	"unprognostic (6.11e-2)"	"unprognostic (5.02e-2)"	"unprognostic (1.30e-1)"	"unprognostic (7.58e-2)"	"unprognostic (2.58e-1)"	"unprognostic (2.97e-1)"	"unprognostic (1.79e-1)"	"unprognostic (9.60e-2)"	"unprognostic (3.82e-2)"
FANCG	"FAG, XRCC9"	ENSG00000221829	"FA complementation group G"	O15287	9	35073835-35080004	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"	"DNA damage, DNA repair"		"Cancer-related genes, Disease variant, Fanconi anemia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Extravillous trophoblasts: 17.2;Spermatogonia: 16.4"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA006695, CAB008105"	Approved		Supported	"Nuclear speckles"			NA	Yes			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 16: Non-specific - Transcription"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 38: Non-specific - Transcription"	"Cluster 52: Non-specific - Cell proliferation"	82	"Nuclear speckles"		"CAB008105: AB_2231542, HPA006695: "	"unprognostic (1.09e-2)"	"unprognostic (3.23e-1)"	"unprognostic (1.15e-1)"	"unprognostic (3.19e-1)"	"unprognostic (1.02e-1)"	"unprognostic (3.04e-2)"	"unprognostic (1.64e-1)"	"unprognostic (2.28e-4)"	"unprognostic (1.55e-2)"	"unprognostic (1.72e-2)"	"unprognostic (7.29e-6)"	"unprognostic (1.86e-1)"	"unprognostic (1.94e-1)"	"unprognostic (2.01e-4)"	"unprognostic (6.98e-4)"	"unprognostic (3.00e-2)"	"unprognostic (2.13e-3)"	"unprognostic (1.52e-1)"	"unprognostic (1.29e-1)"	"unprognostic (1.21e-1)"	"unprognostic (8.56e-5)"	"unprognostic (2.28e-1)"	"unprognostic (2.53e-1)"	"unprognostic (2.37e-1)"	"unprognostic (3.30e-2)"	"unprognostic (5.75e-2)"	"unprognostic (9.30e-2)"	"unprognostic (4.82e-2)"	"unprognostic (4.72e-2)"	"unprognostic (1.08e-1)"	"unprognostic (2.03e-1)"
